id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42515,Geneva center - Hosting females,185647,Noelle,,Commune de Genève,46.2014,6.15507,Private room,73,14,59,2019-06-21,1.12,1,286,2,
44959,Perfect Cozy Bedroom Close to Lake & Transport,198343,Rita,,Commune de Genève,46.19704,6.16076,Private room,59,1,49,2018-10-24,0.63,1,0,0,
276025,Lovely flat by Geneva lake,1442438,Gaby,,Versoix,46.27944,6.16724,Entire home/apt,65,7,108,2019-05-14,1.11,1,298,7,
325986,"Stylish loft in Pâquis, next to UN",1667362,Virna,,Commune de Genève,46.21428,6.1461,Entire home/apt,130,7,106,2019-10-10,0.99,1,291,3,
338682,Top location 1 block from the lake!,1001280,Mike,,Commune de Genève,46.20682,6.15526,Entire home/apt,133,6,96,2020-03-07,0.99,2,58,8,
381538,Double bed+terrace+central Geneva,1913488,Anna,,Commune de Genève,46.20233,6.17377,Private room,146,1,5,2018-11-18,0.04,2,0,0,
399388,Nice modern bedroom with balcony,1994454,Oscar,,Carouge,46.18791,6.13996,Private room,49,7,49,2014-05-16,0.52,3,269,0,
411058,5th Sky (Downtown Geneva),1706035,Julik,,Commune de Genève,46.21092,6.14588,Private room,125,1,47,2020-03-05,0.53,1,87,0,
468995,Nice little place near the lake!,2328179,Po,,Commune de Genève,46.20508,6.15822,Entire home/apt,104,3,29,2015-10-04,0.71,2,1,0,
476344,Very spacious apartment in Geneva!,2361206,Jean,,Commune de Genève,46.19327,6.15306,Entire home/apt,242,3,141,2021-10-21,1.58,1,143,12,
494701,"Appt Central 4 Bedroom, 1 Bath & 1 separate toilet",2388229,Alberto,,Commune de Genève,46.20518,6.12397,Entire home/apt,149,7,171,2019-01-20,1.61,10,320,1,
610685,Bedroom(#1) in new furnished apartment,2388229,Alberto,,Grand-Saconnex,46.23507,6.12345,Private room,61,7,55,2019-03-28,0.63,10,1,1,
610738,Romantic Flat in the City Centre,2388229,Alberto,,Commune de Genève,46.20117,6.13139,Entire home/apt,150,7,28,2019-06-18,0.46,10,241,1,
626512,Design apartment 2 blocks from lake,3110118,Enrica,,Commune de Genève,46.2124,6.15048,Entire home/apt,120,10,34,2021-01-27,0.51,1,76,7,
626831,The Hamlet - Townhouse 6,3111534,The Hamlet,,Commune de Genève,46.19891,6.15033,Entire home/apt,350,1,3,2017-06-05,0.05,15,0,0,
626971,The Hamlet - Townhouse 10,3111534,The Hamlet,,Commune de Genève,46.20048,6.15046,Entire home/apt,350,1,0,,,15,0,0,
628055,Geneva sofa-bed only for ladies/LGBTX |safe| WIFI,3118951,Leonora,,Commune de Genève,46.19275,6.14371,Private room,50,1,295,2021-06-05,2.65,3,16,17,
628495,"Bright, spacious flat in Old Town !",3122142,Laura,,Commune de Genève,46.20174,6.14594,Entire home/apt,83,4,66,2020-03-01,0.88,1,180,2,
639461,"Spacious, Modern Apartment to Rent",2388229,Alberto,,Grand-Saconnex,46.23491,6.12378,Entire home/apt,154,7,127,2020-09-01,1.71,10,1,3,
649023,An artistic studio in Geneva Old Town,2375758,Eliora Elena,,Commune de Genève,46.20175,6.14852,Entire home/apt,85,2,50,2021-09-22,0.57,1,141,17,
656316,"Flat with character, Geneva Center",3305424,Audrey,,Commune de Genève,46.21491,6.13448,Entire home/apt,100,3,11,2019-05-14,0.10,1,0,0,
664917,"Geneva centre, elegant and quiet",3359333,Jean-Luc,,Commune de Genève,46.20496,6.12801,Entire home/apt,116,12,37,2020-08-30,0.40,2,82,3,
693976,Suite overlooking Geneva & Mt Blanc,3550575,Ramon,,Commune de Genève,46.21671,6.13847,Entire home/apt,117,2,51,2015-04-30,0.47,1,25,0,
706264,Cosy and very central apartment,3629403,Louis,,Commune de Genève,46.21302,6.1512,Entire home/apt,110,2,78,2020-03-08,1.00,1,225,1,
728403,WELCOME TO THE HEART OF GENEVA UN'S PRIME LOCATION,3778243,Lucia,,Commune de Genève,46.21184,6.12585,Entire home/apt,266,3,53,2016-09-26,0.50,2,19,0,
765191,"Cosy flat in the city, nearby the lake.",4034142,Lise & Olivier,,Commune de Genève,46.20625,6.16064,Entire home/apt,125,2,28,2019-04-25,0.33,1,0,0,
766186,Stylish Loft - Amazing Views,3987132,Dave,,Commune de Genève,46.20089,6.13124,Entire home/apt,131,2,155,2021-10-10,1.70,1,177,21,
800449,Duplex Loft 136m2 Converted St Jean Watch Factory,4214439,Lucas,,Commune de Genève,46.20573,6.12682,Entire home/apt,280,2,22,2020-01-03,0.21,1,0,1,
817501,Nice bedroom in central Geneva,3250460,Clarence,,Commune de Genève,46.20282,6.13869,Private room,76,2,35,2014-10-13,0.33,1,150,0,
827637,"Best Furnished flat 4 pieces, Geneva Switzerland",4340068,Alessia,,Lancy,46.17446,6.1254,Entire home/apt,81,7,0,,,3,300,0,
827648,"Large furnished apartment, garden",4340068,Alessia,,Commune de Genève,46.20583,6.11483,Entire home/apt,120,90,0,,,3,90,0,
840332,Charming Flat - Lovely Room(s) -  Center Geneva,4055859,Daniel,,Commune de Genève,46.20902,6.1363,Private room,55,10,2,2013-07-28,2,1,0,1,
856614,Room in Geneva near UN WHO ILO (3),3910622,Mark,,Grand-Saconnex,46.23565,6.12589,Private room,68,7,1,2015-08-31,0.01,2,122,0,
884510,Room in Geneva near UN WHO ILO (1),3910622,Mark,,Grand-Saconnex,46.23456,6.12542,Private room,66,7,1,2015-07-10,0.01,2,167,0,
899661,Superb fully furnished and equipped,4896475,Ruth,,Genthod,46.25854,6.15074,Entire home/apt,220,6,0,,,1,180,0,
901420,Cozy flat in center Geneva,3515231,Stéphane,,Commune de Genève,46.2008,6.13624,Entire home/apt,105,4,153,2021-08-08,1.51,1,167,4,
913745,Home,4904588,Swaggy,,Onex,46.19241,6.103,Private room,37,3,19,2020-02-22,0.59,1,270,0,
914760,Your suite in Geneva,4910312,Claris,,Commune de Genève,46.1914,6.15798,Entire home/apt,150,7,11,2019-08-11,0.29,4,149,0,
